supplier_id,supplier_name,supplier_location,spend_year,supplier_category,supplier_subcategory,spend_anonymized
S0001,Supplier_0001,,2022,Electronics,,38747.0
S0001,Supplier_0002,,2023,Electronics,,41810.0
S0002,Supplier_0003,,2022,Metal Components,Sub-contracting,2852.9
S0002,Supplier_0004,,2023,Electronics,,3155.52
S0003,Supplier_0005,,2022,Electronics,,39780.0
S0003,Supplier_0006,,2023,Metal Components,,61859.0
S0004,Supplier_0007,,2022,Metal Components,,15235.0
S0004,Supplier_0008,,2023,Electronics,,17995.32
S0005,Supplier_0009,,2022,Electronics,,786.13
S0005,Supplier_0010,,2023,Metal Components,,1044.45
S0006,Supplier_0011,,2022,Electronics,,40371.2
S0006,Supplier_0012,,2023,Electronics,,45877.0
S0007,Supplier_0013,,2022,Plastics,,21325.26
S0007,Supplier_0014,,2023,Electronics,,46551.54
S0008,Supplier_0015,,2022,Plastics,,0.0
S0008,Supplier_0016,,2023,Plastic Components,,2972.38
S0009,Supplier_0017,,2022,Metal Components,Sub-contracting,32362.6
S0009,Supplier_0018,,2023,Metal Components,,30707.0
S0010,Supplier_0005,,2022,Sub-contracting,Sub-contracting,19964.0
S0010,Supplier_0006,,2023,Metal Components,,19621.0
S0011,Supplier_0019,,2022,Sub-contracting,Sub-contracting,3048.0
S0011,Supplier_0020,,2023,Sub-Contracting,,4381.5
S0012,Supplier_0021,,2022,Metal Components,Sub-contracting,19950.0
S0012,Supplier_0022,,2023,Sub-Contracting,,19950.0
S0013,Supplier_0023,,2022,Plastics,,24000.0
S0013,Supplier_0024,,2023,Metal Components,,22800.0
S0014,Supplier_0025,,2022,Packaging,,1214.56
S0014,Supplier_0026,,2023,Plastic Components,,1744.08
S0015,Supplier_0027,,2022,Packaging,,6111.57
S0015,Supplier_0028,,2023,Packaging,,8651.48
S0016,Supplier_0029,,2022,Electronics,,3720.18
S0016,Supplier_0030,,2023,Packaging,,6753.6
S0017,Supplier_0031,,2022,Electronics,,0.0
S0017,Supplier_0032,,2023,Electronics,,7611.44
S0018,Supplier_0033,,2022,,,522.9
S0018,Supplier_0034,,2023,Plastic Components,,0.0
S0019,Supplier_0035,,2023,,,5693.18
S0020,Supplier_0036,,2022,Metal components,Other,2865.7
S0020,Supplier_0036,,2023,Metal Components,,41021.81
S0021,Supplier_0037,,2022,Metal components,Machined parts,874.6
S0021,Supplier_0037,,2023,Metal Components,,2499.84
S0022,Supplier_0038,,2022,Sub-contracting,Other (Sanding),11.64
S0023,Supplier_0039,,2022,Electronics,Components,795.0
S0024,Supplier_0040,,2022,Fibers,laser,430504.0
S0024,Supplier_0040,,2023,Fibers,,371766.63
S0025,Supplier_0041,,2023,,,25470.94
S0026,Supplier_0042,,2022,Plastic component,Machined parts,10419.0
S0027,Supplier_0043,,2022,Metal components,Machined parts,3625.0
S0028,Supplier_0044,,2022,Fibers,light,459.0
S0029,Supplier_0045,,2023,Fibers,,6777.73
S0030,Supplier_0046,,2022,Plastic component,Injection moulding,176920.0
S0031,Supplier_0047,,2022,Fibers,Other,48717.48
S0031,Supplier_0047,,2023,Fibers,,198260.68
S0032,Supplier_0048,,2022,Metal components,Machined parts,6790.0
S0032,Supplier_0048,,2023,Metal Components,,626.28
S0033,Supplier_0049,,2023,,,43544.72
S0034,Supplier_0050,,2022,Metal components,Other,64754.41
S0034,Supplier_0050,,2023,Metal Components,,33134.37
S0035,Supplier_0051,,2023,,,4768.13
S0036,Supplier_0052,,2022,Metal components,Other,52645.86
S0036,Supplier_0052,,2023,Metal Components,,49390.31
S0037,Supplier_0053,,2022,Plastic component,Injection moulding,6360.0
S0037,Supplier_0053,,2023,Plastic Components,,6363.77
S0038,Supplier_0054,,2022,Metal components,Other,99261.0
S0038,Supplier_0054,,2023,Metal Components,,57842.18
S0039,Supplier_0055,,2022,Metal components,Machined parts,9742.0
S0039,Supplier_0055,,2023,Metal Components,,16848.73
S0040,Supplier_0056,,2022,Electronics,Components,347.23
S0041,Supplier_0057,,2022,Metal components,Machined parts,540950.0
S0042,Supplier_0058,,2022,Electronics,Components,22500.0
S0043,Supplier_0059,,2022,Plastic component,Machined parts,35636.0
S0044,Supplier_0060,,2023,,,183.91
S0045,Supplier_0061,,2023,Plastic Components,,1541.35
S0046,Supplier_0062,,2023,,,27648.74
S0047,Supplier_0063,,2022,Metal components,Other,66031.46
S0048,Supplier_0064,,2022,Sub-contracting,Other (Sanding),206080.0
S0048,Supplier_0064,,2023,Sub-Contracting,,232840.31
S0049,Supplier_0065,,2022,Plastic component,Injection moulding,48659.0
S0049,Supplier_0065,,2023,Plastic Components,,66223.71
S0050,Supplier_0066,,2023,,,17952.8
S0051,Supplier_0067,,2022,Metal components,Machined parts,32040.0
S0051,Supplier_0067,,2023,Metal Components,,30558.61
S0052,Supplier_0068,,2022,Medical device,Consumables,1264.0
S0053,Supplier_0069,,2023,,,3009.2
S0054,Supplier_0070,,2022,Packaging,Cartons,9214.1
S0054,Supplier_0070,,2023,Packaging,,8265.35
S0055,Supplier_0071,,2022,Medical device,Consumables,3200.0
S0056,Supplier_0072,,2022,Fibers,Other,98414.0
S0056,Supplier_0072,,2023,Fibers,,94882.15
S0057,Supplier_0073,,2022,Electronics,Components,560.0
S0058,Supplier_0074,,2023,,,3261.61
S0059,Supplier_0075,,2022,Plastic component,Injection moulding,18000.0
S0060,Supplier_0076,,2022,Electronics,Components,132.0
S0061,Supplier_0077,,2022,Metal components,Machined parts,14115.0
S0061,Supplier_0077,,2023,Metal Components,,7094.94
S0062,Supplier_0078,,2022,Electronics,Components,2261.0
S0062,Supplier_0078,,2023,Electronics,,3987.31
S0063,Supplier_0068,,2022,Plastic component,Injection moulding,42997.0
S0064,Supplier_0079,,2022,Packaging,Cartons,21360.0
S0064,Supplier_0079,,2023,Packaging,,17688.78
S0065,Supplier_0080,,2022,Electronics,Components,15470.0
S0066,Supplier_0081,,2022,Electronics,Components,33160.0
S0066,Supplier_0081,,2023,Electronics,,33131.14
